,names,prices,icons_url
49,Transmission | Purple,$9.71,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
50,Transmission | Blue,$0.54,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
51,Air Filter 4 | Red,$0.66,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
52,Fuel Cap 2 | Silver,$1.69,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
53,Fuel Cap 3 | Silver,$0.63,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
54,Air Filter 2 | Silver Red,$0.17,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
55,Air Filter 3 | Metal Silver,$0.88,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
56,Fuel Tank 1 | Purple,$0.64,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
57,Fuel Tank 1 | Red,$0.92,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
58,Side Cover | Skull Purple,$0.37,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
59,Starter 1 | Skull Green,$0.38,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/588120/d75f5a6c0eb60a65b04a2d979af16c07d20b7224.jpg
